Isotope,t=0s,t=30s,t=60s,t=90s,t=120s,t=150s,t=180s,t=210s,t=240s,t=270s,t=300s,t=330s,t=360s,t=390s,t=420s,t=450s,t=480s,t=510s,t=540s,t=570s,t=600s,t=630s,t=660s,t=690s,t=720s,t=750s,t=780s,t=810s,t=840s,t=870s,t=900s,t=930s,t=960s,t=990s,t=1020s,t=1050s,t=1080s,t=1110s,t=1140s,t=1170s,t=1200s,t=1230s,t=1260s,t=1290s,t=1320s,t=1350s,t=1380s,t=1410s,t=1440s,t=1470s,t=1500s,t=1530s,t=1560s,t=1590s,t=1620s,t=1650s,t=1680s,t=1710s,t=1740s,t=1770s,t=1800s,t=1830s,t=1860s,t=1890s,t=1920s,t=1950s,t=1980s,t=2010s,t=2040s,t=2070s,t=2100s,t=2130s,t=2160s,t=2190s,t=2220s,t=2250s,t=2280s,t=2310s,t=2340s,t=2370s,t=2400s,t=2430s,t=2460s,t=2490s,t=2520s,t=2550s,t=2580s,t=2610s,t=2640s,t=2670s,t=2700s,t=2730s,t=2760s,t=2790s,t=2820s,t=2850s,t=2880s,t=2910s,t=2940s,t=2970s,t=3000s,t=3030s,t=3060s,t=3090s,t=3120s,t=3150s,t=3180s,t=3210s,t=3240s,t=3270s,t=3300s,t=3330s,t=3360s,t=3390s,t=3420s,t=3450s,t=3480s,t=3510s,t=3540s,t=3570s,t=3600s,t=3630s,t=3660s,t=3690s,t=3720s,t=3750s,t=3780s,t=3810s,t=3840s,t=3870s,t=3900s,t=3930s,t=3960s,t=3990s,t=4020s,t=4050s,t=4080s,t=4110s,t=4140s,t=4170s,t=4200s,t=4230s,t=4260s,t=4290s,t=4320s,t=4350s,t=4380s,t=4410s,t=4440s,t=4470s,t=4500s,t=4530s,t=4560s,t=4590s,t=4620s,t=4650s,t=4680s,t=4710s,t=4740s,t=4770s,t=4800s,t=4830s,t=4860s,t=4890s,t=4920s,t=4950s,t=4980s,t=5010s,t=5040s,t=5070s,t=5100s,t=5130s,t=5160s,t=5190s,t=5220s,t=5250s,t=5280s,t=5310s,t=5340s,t=5370s,t=5400s
Gd148,0.0,50258977771816.02,2344928013259753.5,2.0238807655294256e+16,8.887061897582894e+16,2.7074791116929776e+17,6.560313617353628e+17,1.3618228174435197e+18,2.526731972221189e+18,4.30516501663268e+18,6.863524708752602e+18,1.036828853647447e+19,1.5001218178552707e+19,2.0925257206945178e+19,2.830329797552565e+19,3.7276764934437675e+19,4.799428941819492e+19,6.055631912407945e+19,7.506153116761645e+19,9.15899357138226e+19,1.1019891749668661e+20,1.3093689426868555e+20,1.538009808380331e+20,1.788762200688328e+20,2.0605834542274707e+20,2.3535671541883214e+20,2.6673936863161414e+20,3.001059024139471e+20,3.3549807377044236e+20,3.726363260456084e+20,4.115315857636416e+20,4.519984887553958e+20,4.9397625626916585e+20,5.374456248965084e+20,5.822006303384572e+20,6.280746717403694e+20,6.750500262545714e+20,7.22804136459508e+20,7.712580468734211e+20,8.20380380534654e+20,8.699087171225526e+20,9.197913387313757e+20,9.698458129106998e+20,1.020026666266384e+21,1.0702012394624951e+21,1.120358404403914e+21,1.1700824985062157e+21,1.219467163875305e+21,1.268313334266056e+21,1.3165831077809763e+21,1.364183521812731e+21,1.4110693801822863e+21,1.4570468464774863e+21,1.502084327390719e+21,1.5461965229739852e+21,1.5891093161037165e+21,1.630828979272093e+21,1.6713843733275756e+21,1.7106533621255126e+21,1.7487253328439862e+21,1.7853919778526045e+21,1.8205041148091685e+21,1.8543576830770573e+21,1.8866479742547518e+21,1.917555539799553e+21,1.946990865372322e+21,1.97495998842985e+21,2.0013221585969779e+21,2.0261297764811932e+21,2.049514777152268e+21,2.071344817673138e+21,2.0917633585964683e+21,2.1105163269468473e+21,2.1278326620741525e+21,2.1436041944704242e+21,2.1579006737124874e+21,2.1707599539808095e+21,2.1822243924051755e+21,2.1922747078516505e+21,2.2009262489267e+21,2.208130641744324e+21,2.2139679394058823e+21,2.2185399185205163e+21,2.221851914733277e+21,2.223864480269146e+21,2.224570565743386e+21,2.22408428599452e+21,2.2224434443278363e+21,2.2197590296083303e+21,2.2159766113844616e+21,2.211115350175124e+21,2.2052348722876527e+21,2.1983556780730792e+21,2.1904734033690425e+21,2.181674457064901e+21,2.1719765999117764e+21,2.161368799660362e+21,2.150025357779487e+21,2.137849860772317e+21,2.1249944846316426e+21,2.1113925899819436e+21,2.097090095318128e+21,2.0820974446202082e+21,2.0664252172906007e+21,2.05023181763268e+21,2.0334696318131778e+21,2.016170905775788e+21,1.9983735103281457e+21,1.9801472763145243e+21,1.9614706823255512e+21,1.942386305863994e+21,1.9228765424948638e+21,1.9030375118287793e+21,1.8828737461749012e+21,1.8624228965520617e+21,1.841715123138485e+21,1.8207367713000113e+21,1.7995699154682603e+21,1.778179275601362e+21,1.756590274517392e+21,1.7348136616355394e+21,1.7128991450753443e+21,1.690893096687126e+21,1.6688157305847155e+21,1.6466003422288033e+21,1.6243276738141547e+21,1.6020239068762444e+21,1.579692954873836e+21,1.557345114556984e+21,1.5350240454552422e+21,1.5127090721271303e+21,1.4903998360845607e+21,1.4681610361372006e+21,1.445964690514865e+21,1.423841204058922e+21,1.401807327301411e+21,1.379872066161467e+21,1.35805245773867e+21,1.3363274536129656e+21,1.3147372431787318e+21,1.2932744178288592e+21,1.27196338637103e+21,1.2507824710221357e+21,1.2297846972747756e+21,1.208963787529353e+21,1.1883071134200009e+21,1.1678276368795453e+21,1.1475355397563781e+21,1.127434102274238e+21,1.1075177080496571e+21,1.0878026075979612e+21,1.0683042796171657e+21,1.0490137408211835e+21,1.0299337735181883e+21,1.0110762179365462e+21,9.92432736715515e+20,9.740095926370328e+20,9.558127525423786e+20,9.378427467278329e+20,9.2010085411803e+20,9.026010481244807e+20,8.853182603086466e+20,8.682756300860002e+20,8.514536067010421e+20,8.348806928609141e+20,8.18540563494304e+20,8.024379322457306e+20,7.865657090802706e+20,7.70942006013839e+20,7.555417216007394e+20,7.403810269291469e+20,7.254476747630753e+20,7.107515728845308e+20,6.962990558502148e+20,6.820595866580464e+20,6.680515125767381e+20,6.542710806379881e+20,6.407265969226332e+20,6.2740668756507e+20,6.143142177318284e+20,6.014445386361905e+20
Gd149,0.0,6557737058187996.0,1.4753684972334413e+17,8.257971227127749e+17,2.6619623402351734e+18,6.366386339150207e+18,1.2654110866014734e+19,2.221939404290265e+19,3.56312736644343e+19,5.334170974986131e+19,7.577275925910679e+19,1.0300894442360127e+20,1.3545041421231499e+20,1.7278312007175343e+20,2.153231400989929e+20,2.6254117078321414e+20,3.147897596380929e+20,3.7087600855162775e+20,4.31203430560039e+20,4.950799768119083e+20,5.6238370526308054e+20,6.323376911617014e+20,7.04687771445969e+20,7.80665626851333e+20,8.562780466776852e+20,9.337715330680955e+20,1.0130803573564872e+21,1.0915949458670357e+21,1.1719107921989173e+21,1.249797523930027e+21,1.3280738964904201e+21,1.404839696662791e+21,1.4803742846589335e+21,1.5572468974226278e+21,1.630391925996317e+21,1.7016924216698785e+21,1.7730926112982942e+21,1.8378743912376563e+21,1.9042745043050687e+21,1.9653630097420507e+21,2.0248982938515598e+21,2.0819990060355182e+21,2.1367161941847895e+21,2.1884316438304218e+21,2.2390196833854685e+21,2.2868071714184026e+21,2.3271807389305607e+21,2.367412894655971e+21,2.406629338371807e+21,2.440137849014291e+21,2.4705684654216986e+21,2.502611237145292e+21,2.5278414584865017e+21,2.551684120540105e+21,2.5732881463020015e+21,2.5903368105194653e+21,2.6054317258235146e+21,2.6193779733619755e+21,2.6292323054130325e+21,2.6387862233500185e+21,2.6441011136560255e+21,2.646504012449531e+21,2.6507416674092953e+21,2.6472176293003673e+21,2.6466714835100217e+21,2.642538699733645e+21,2.63687605913206e+21,2.627850276156456e+21,2.618457464059995e+21,2.60876473122009e+21,2.594758311440177e+21,2.5820647192445326e+21,2.56586480806978e+21,2.550799615040827e+21,2.5295434230937514e+21,2.512453028964407e+21,2.4931947727006256e+21,2.4720068222589054e+21,2.45029822567503e+21,2.4276579382414315e+21,2.4016872761907987e+21,2.377006548839603e+21,2.3527661267842006e+21,2.3258363660308633e+21,2.3008898125573805e+21,2.2717595076125299e+21,2.2437066602111715e+21,2.2175935026528547e+21,2.1886918037798333e+21,2.1616468967536593e+21,2.1312907585308262e+21,2.1033664994503665e+21,2.072659305952943e+21,2.0427293647805735e+21,2.0127985503749687e+21,1.9838570714028484e+21,1.9515180538817104e+21,1.9240162190316898e+21,1.8927463250521898e+21,1.8643988183816067e+21,1.8328630283614348e+21,1.802674913077855e+21,1.771265216542385e+21,1.741782797199669e+21,1.7131087631842078e+21,1.6838524999880304e+21,1.6535685680258443e+21,1.6248034848555425e+21,1.595945665126901e+21,1.5661601511055137e+21,1.538202456628319e+21,1.5095999554706604e+21,1.4816728057125947e+21,1.4539384452863353e+21,1.4270731237801468e+21,1.3996091993183182e+21,1.3728294606699642e+21,1.346360699931746e+21,1.3193936320115203e+21,1.2929728111075131e+21,1.267956608342249e+21,1.2426524512419507e+21,1.2190260537867074e+21,1.1930570444466055e+21,1.1681634131679353e+21,1.1448769528522373e+21,1.1208937325846051e+21,1.097445826035385e+21,1.075533157233337e+21,1.0530198696073471e+21,1.0303451830325344e+21,1.0080491297622795e+21,9.859029199606168e+20,9.655288226119299e+20,9.448462449740191e+20,9.245367535022224e+20,9.049530642298833e+20,8.845305478394182e+20,8.656582429536972e+20,8.456510729546371e+20,8.270867097394233e+20,8.088083075775982e+20,7.91015832826819e+20,7.735817385146721e+20,7.560329708462073e+20,7.387971090034275e+20,7.223892082480516e+20,7.056724591936474e+20,6.897502682152762e+20,6.739832344119696e+20,6.586417790787726e+20,6.436253672890867e+20,6.282154003065976e+20,6.143002435074329e+20,5.998875871094304e+20,5.8570575569759e+20,5.72295231689423e+20,5.590650085407101e+20,5.454598099627926e+20,5.33178445212575e+20,5.205908128255578e+20,5.080871216701428e+20,4.9571922820412794e+20,4.8426340410256445e+20,4.728136633157286e+20,4.617726859247042e+20,4.501417496275163e+20,4.399413698631935e+20,4.289390314215555e+20,4.18856224299777e+20,4.0884637221667045e+20,3.985903312977414e+20,3.89323391795308e+20,3.7980728312259635e+20,3.70458162992826e+20,3.614871689483061e+20,3.527485640671675e+20,3.4423992960331986e+20,3.3593934209569345e+20,3.276968591175178e+20,3.1961014405547786e+20
Gd150,0.0,1.0344569304858824e+18,1.5043478845813557e+19,6.927184731270152e+19,1.9955815691615827e+20,4.4434333387378885e+20,8.404784617078783e+20,1.4217848594160243e+21,2.2165325017727424e+21,3.24661215317645e+21,4.5284344326594977e+21,6.070065928555291e+21,7.878831396895373e+21,9.951807145056638e+21,1.22852479677898e+22,1.4867097981299424e+22,1.7687784061150968e+22,2.072773337459389e+22,2.3970497741695077e+22,2.739630960199466e+22,3.0984530279917202e+22,3.471384682306861e+22,3.856113970299815e+22,4.251347812360472e+22,4.6537875425198416e+22,5.062024330315604e+22,5.474107587427894e+22,5.887612680750445e+22,6.3017331362985476e+22,6.713308231931494e+22,7.121491556296327e+22,7.524189786779571e+22,7.920379549703794e+22,8.309380048765544e+22,8.689474883260565e+22,9.059449218958459e+22,9.41906276208482e+22,9.766368512365953e+22,1.0101246368325187e+23,1.0423112813998225e+23,1.0731181181853859e+23,1.1025188462228303e+23,1.1304811487040516e+23,1.156991954891262e+23,1.1820077398421717e+23,1.205580419816022e+23,1.2275924477372296e+23,1.2481214505299828e+23,1.2671365245799097e+23,1.2846615623653566e+23,1.3007098386335232e+23,1.3153210644744253e+23,1.3284794173398706e+23,1.3402262598037778e+23,1.3506200711715079e+23,1.3596304766267428e+23,1.3673110196340351e+23,1.3736961382063222e+23,1.3788304236418e+23,1.3827601832493164e+23,1.3855038408998495e+23,1.3870901566080996e+23,1.3875924918342693e+23,1.3870158222496991e+23,1.3854268393315963e+23,1.3828758880260142e+23,1.3793825350902565e+23,1.3749870769087827e+23,1.3697341526869816e+23,1.3636755070768671e+23,1.356838068964981e+23,1.3492859618211558e+23,1.3410175684837002e+23,1.3320902819974906e+23,1.3225334694600452e+23,1.3123855041891661e+23,1.3016972092796282e+23,1.2904786617300122e+23,1.2787875270908049e+23,1.2666463463659298e+23,1.2540783297003631e+23,1.241129156957612e+23,1.2278278001249509e+23,1.2142033005490858e+23,1.2002528074514358e+23,1.1860341528678678e+23,1.1715813988606268e+23,1.1568844872763292e+23,1.1420006612421648e+23,1.1269334584628814e+23,1.111727558189475e+23,1.0963786109481262e+23,1.080932641072586e+23,1.065379942798576e+23,1.049762232911988e+23,1.034085533771384e+23,1.0183745497156351e+23,1.0026353652346938e+23,9.868913999832057e+22,9.711486757821142e+22,9.554395764874039e+22,9.397591273206682e+22,9.241337540937225e+22,9.085505771240602e+22,8.930504717177869e+22,8.776178947760881e+22,8.622726364831533e+22,8.47027286224522e+22,8.318830266840039e+22,8.168643170064228e+22,8.019632133126486e+22,7.871943011532903e+22,7.725498282442136e+22,7.580480196523914e+22,7.436907447952452e+22,7.294852993793854e+22,7.1543887495784554e+22,7.015600815132185e+22,6.878440342713445e+22,6.742987911557718e+22,6.6091654598500465e+22,6.4770203778618e+22,6.346556396871551e+22,6.217990984147884e+22,6.091180066143636e+22,5.9661710192518485e+22,5.843029997383447e+22,5.7217443099881454e+22,5.602198298870263e+22,5.484554155852457e+22,5.368741176809338e+22,5.2548098469412016e+22,5.142773244477382e+22,5.032523477142171e+22,4.924124649137373e+22,4.817572393123751e+22,4.712804223067078e+22,4.609924744250016e+22,4.5087914797441615e+22,4.409560780850352e+22,4.312045037681432e+22,4.216273319798571e+22,4.122268890303687e+22,4.030031850110583e+22,3.939505874025444e+22,3.8507195871850645e+22,3.7636102122402853e+22,3.6782136763164146e+22,3.5944553987188583e+22,3.5123049630592183e+22,3.431779312919253e+22,3.3528658574702404e+22,3.275589740058411e+22,3.199848450339196e+22,3.125657317401216e+22,3.0529582147634842e+22,2.981759830522251e+22,2.911995831333695e+22,2.8437501052477917e+22,2.776863422677184e+22,2.711445489918901e+22,2.647396707654078e+22,2.5847351679720645e+22,2.523416340916553e+22,2.4634098412573986e+22,2.4046820877141553e+22,2.3472767152025183e+22,2.2910948602553884e+22,2.236218814703446e+22,2.1824976854036148e+22,2.129947784149793e+22,2.0786042490387008e+22,2.0283835550767887e+22,1.979302656536088e+22,1.9313199866920414e+22,1.884411613795115e+22,1.8385635911347093e+22,1.793743613782145e+22,1.7499439033250256e+22,1.7071676833290313e+22,1.6653885569751279e+22
Gd151,0.0,8.78640641449026e+19,6.312419786270067e+20,1.915086916405796e+21,4.089268209418695e+21,7.200763307871388e+21,1.1224748074618952e+22,1.6100774781536258e+22,2.173124761011426e+22,2.8002333014173044e+22,3.4800466192292685e+22,4.199287945212479e+22,4.949180345933441e+22,5.717150471942281e+22,6.494699828138474e+22,7.271446708758034e+22,8.042027525356238e+22,8.796588812500643e+22,9.530572162215317e+22,1.0239281601461823e+23,1.0918858601270195e+23,1.1565692774296074e+23,1.2176518695601622e+23,1.2754938198163499e+23,1.329205537891767e+23,1.3791503700409762e+23,1.4253246245893987e+23,1.4674258581168767e+23,1.5061124682462233e+23,1.5404793570793526e+23,1.5712671397480973e+23,1.598210303067203e+23,1.621599568410219e+23,1.6420606760385346e+23,1.659152396029968e+23,1.6730381580213283e+23,1.684238055573909e+23,1.69217046059842e+23,1.697541646419534e+23,1.7003675497326806e+23,1.7007968938829752e+23,1.699018952367859e+23,1.6950744626373263e+23,1.6893230026396074e+23,1.6818369391877043e+23,1.6729492281263147e+23,1.6619757671629206e+23,1.649791257583927e+23,1.6362642616657248e+23,1.6214250942073856e+23,1.6055384380290097e+23,1.5888902145196593e+23,1.571101586078345e+23,1.5525145052055334e+23,1.5333462516281904e+23,1.5132631049601107e+23,1.4925534657099147e+23,1.4714703268747303e+23,1.4498321987175993e+23,1.4280282526246925e+23,1.4057659789483398e+23,1.3830217526060147e+23,1.3603941193709234e+23,1.3372837598937341e+23,1.3143044175128248e+23,1.2912074991863788e+23,1.268086314953344e+23,1.2448626706227469e+23,1.2216430603326253e+23,1.1986126923627875e+23,1.175583026324167e+23,1.1528514477395024e+23,1.130034951132074e+23,1.1075191352146366e+23,1.0849756112995337e+23,1.0627812847630113e+23,1.0407639208590485e+23,1.019034460502205e+23,9.975363669508403e+22,9.762950091833667e+22,9.551621357627224e+22,9.34353005525322e+22,9.138843383794095e+22,8.937066493857664e+22,8.738713704137923e+22,8.541726980529076e+22,8.348153196589269e+22,8.158828801222472e+22,7.972532573479474e+22,7.79013423313031e+22,7.609777091072165e+22,7.433458753117321e+22,7.259602918024627e+22,7.088783260399229e+22,6.921413175374917e+22,6.7573977202674956e+22,6.595518530215751e+22,6.438553890027103e+22,6.283675871094694e+22,6.133135815899701e+22,5.984570113113193e+22,5.8391891690696275e+22,5.696244817176673e+22,5.556480309948974e+22,5.420175984911586e+22,5.286836280400851e+22,5.156102162185915e+22,5.028319098062116e+22,4.903646706978928e+22,4.7815007311629805e+22,4.662215551479183e+22,4.545231802908105e+22,4.43127697446217e+22,4.319974238136631e+22,4.211432002983704e+22,4.105212349666212e+22,4.001332517136964e+22,3.9002313202247706e+22,3.801193685854757e+22,3.7043847950869815e+22,3.609970821084635e+22,3.517816302607196e+22,3.4283497665778938e+22,3.3406432024596415e+22,3.2547409946345627e+22,3.171327349334542e+22,3.0897294826969917e+22,3.0101284702061517e+22,2.932887701981806e+22,2.8574824366292794e+22,2.783693010000262e+22,2.711555173897144e+22,2.6411325103267962e+22,2.5727372157185337e+22,2.5059879268563114e+22,2.441080054642673e+22,2.377826636952925e+22,2.3159706025745604e+22,2.255753855480178e+22,2.1967625823765727e+22,2.139534887484542e+22,2.083839443779735e+22,2.029468724579848e+22,1.976583937450865e+22,1.925016622763025e+22,1.8746801568713577e+22,1.825782260585475e+22,1.7780024408091193e+22,1.731512507682745e+22,1.6861867849731111e+22,1.6420628803715842e+22,1.5991540017285543e+22,1.5571097311831189e+22,1.5163137072296083e+22,1.476503858068664e+22,1.4377725804270294e+22,1.4001028682226413e+22,1.3634703952452182e+22,1.327573962715007e+22,1.2928800364416821e+22,1.2589670646005644e+22,1.225852871964566e+22,1.1935951344776707e+22,1.1621991432491274e+22,1.1316569525733065e+22,1.1019655659054583e+22,1.0728974509192597e+22,1.044806216413893e+22,1.017225358018485e+22,9.904948329385128e+21,9.645256549927406e+21,9.390573537827715e+21,9.144022328367116e+21,8.903994931444435e+21,8.669338637276991e+21,8.440983985881467e+21,8.219087499163267e+21,8.00356974470665e+21,7.793711203024873e+21,7.589028515397924e+21,7.389302316201122e+21
Gd152,0.0,7.107883791992579e+21,2.646069767715137e+22,5.543487410151739e+22,9.187146089476307e+22,1.3386540104568402e+23,1.7979838488762443e+23,2.2839764152026406e+23,2.785508685503878e+23,3.293143178452529e+23,3.799739837062888e+23,4.29834452680583e+23,4.7852277597693485e+23,5.255649840158066e+23,5.707167935310755e+23,6.136689711352269e+23,6.543100663492048e+23,6.924593975811536e+23,7.280608650026058e+23,7.610946659073394e+23,7.915527656925355e+23,8.19400788443053e+23,8.447041243513582e+23,8.676053615054814e+23,8.880266826197355e+23,9.061495858502906e+23,9.220238498120247e+23,9.357038088774823e+23,9.473854095439142e+23,9.570584313110502e+23,9.648768095210251e+23,9.708759472375514e+23,9.751973373632077e+23,9.779951262547208e+23,9.793036212053211e+23,9.792120597903211e+23,9.778551658623837e+23,9.75255291659776e+23,9.7153600588746e+23,9.667769892582895e+23,9.610658424689649e+23,9.544482054610141e+23,9.470199748688767e+23,9.388615680030844e+23,9.299961003771874e+23,9.205435237246738e+23,9.104827802862766e+23,8.99942827934606e+23,8.889335494823624e+23,8.775154381290339e+23,8.657452402223247e+23,8.536609587394491e+23,8.412928549138904e+23,8.286833846867898e+23,8.159045426753014e+23,8.029400330597325e+23,7.89832209086873e+23,7.766010926805779e+23,7.632966886119873e+23,7.499383736259181e+23,7.36539686887816e+23,7.231419638419842e+23,7.097515538437706e+23,6.963769180797836e+23,6.83039974328451e+23,6.697784134960711e+23,6.565873754924374e+23,6.434808549719126e+23,6.304720127829766e+23,6.175910634439473e+23,6.048209726440091e+23,5.9219750949526045e+23,5.797005571260886e+23,5.673428101707966e+23,5.5513508735067955e+23,5.430855065467071e+23,5.312131035189884e+23,5.194842968054385e+23,5.079381796649153e+23,4.9656141411326176e+23,4.853562600240693e+23,4.7434436893562635e+23,4.635170569006e+23,4.5287994446646186e+23,4.4240370232757415e+23,4.321138940035813e+23,4.220304747545837e+23,4.1211298740579585e+23,4.023859906765759e+23,3.9284065263171596e+23,3.8348916565720564e+23,3.743132573136177e+23,3.653297856360517e+23,3.5651462860669084e+23,3.4788926884975134e+23,3.3943899294532076e+23,3.311605713143715e+23,3.23064024857141e+23,3.1513216256991854e+23,3.0737057634863016e+23,2.9978393030589457e+23,2.9236035231461296e+23,2.8510434269028996e+23,2.779984555880098e+23,2.7106651794255396e+23,2.6428119832000202e+23,2.576487835797439e+23,2.5116868094089044e+23,2.4483871494296357e+23,2.3865807031601836e+23,2.326225218035403e+23,2.267267911057677e+23,2.209669167585152e+23,2.1534439590365023e+23,2.0985517848897213e+23,2.0449743064959568e+23,1.992678841818683e+23,1.94172242082388e+23,1.891956731070421e+23,1.843419347648477e+23,1.796009038067817e+23,1.7497342153933035e+23,1.7045927635765933e+23,1.660614937225449e+23,1.617670085968643e+23,1.5758174056497198e+23,1.535026278752085e+23,1.4952492239380564e+23,1.45643820167264e+23,1.4186278626978025e+23,1.3817386742526669e+23,1.34579259714547e+23,1.3107764645493794e+23,1.2766584356486811e+23,1.2433936168001187e+23,1.2109803423060952e+23,1.1793666611801008e+23,1.1485778914940651e+23,1.1185472851451713e+23,1.0893353718985802e+23,1.0608414428768525e+23,1.0330633417331997e+23,1.0059961891091561e+23,9.796588588317066e+22,9.53988683514857e+22,9.289715751937183e+22,9.046028576042131e+22,8.808819642148955e+22,8.577652512206303e+22,8.352098309911497e+22,8.132639890167717e+22,7.919040559068884e+22,7.711056982741736e+22,7.508538061787429e+22,7.311233127766856e+22,7.1189163326709705e+22,6.9317336180326475e+22,6.749348334888337e+22,6.57175568645221e+22,6.398762397266171e+22,6.230497691664895e+22,6.066487497928428e+22,5.9068375473824396e+22,5.751380957102503e+22,5.600123928768816e+22,5.452766913156228e+22,5.309270345916261e+22,5.16960183375674e+22,5.033798898202329e+22,4.901351019629387e+22,4.772383801272257e+22,4.646857125398136e+22,4.524644472794692e+22,4.405713616990497e+22,4.289796766933897e+22,4.176933860192118e+22,4.067056460548953e+22,3.9600818542325755e+22,3.855888480398764e+22,3.754497335343451e+22,3.6558408256919414e+22
Gd153,0.0,3.5268928526477505e+23,6.472845228233341e+23,8.916031967152546e+23,1.0928434758813687e+24,1.2565775718966402e+24,1.3879136316673606e+24,1.4916726122523575e+24,1.5715560322920346e+24,1.6310117866238487e+24,1.6731007114507542e+24,1.700182418783966e+24,1.7148574595396837e+24,1.7188497576244707e+24,1.7139671895454083e+24,1.7015011548474464e+24,1.6829270248552196e+24,1.6591413083389437e+24,1.6311429005837676e+24,1.599792883041203e+24,1.5657943544452126e+24,1.5297022868161626e+24,1.4920185207096125e+24,1.4533472344530656e+24,1.4138235188569364e+24,1.373897815474648e+24,1.3338317744016985e+24,1.2937919082847538e+24,1.2541051173306573e+24,1.2146944455036568e+24,1.1758752815167134e+24,1.1376907867537815e+24,1.1001962762459731e+24,1.0635918980022556e+24,1.0278267048242272e+24,9.929251424665727e+23,9.589812935645302e+23,9.259221906834557e+23,8.938159538453998e+23,8.626691411608748e+23,8.324774756448394e+23,8.032477738325599e+23,7.749320453913635e+23,7.47588787891168e+23,7.21143501813376e+23,6.956345275043553e+23,6.709613963224839e+23,6.471628006777676e+23,6.24192127137933e+23,6.020271112505341e+23,5.806452339302301e+23,5.6005755783680265e+23,5.4019675978290237e+23,5.210562366394496e+23,5.025899199181796e+23,4.8478828341296316e+23,4.6763576239216605e+23,4.5113241396445404e+23,4.352218335420531e+23,4.1989748669917836e+23,4.0513759146616646e+23,3.909086027572471e+23,3.772151071770385e+23,3.640167817087856e+23,3.5131476004299814e+23,3.390770502235994e+23,3.272767085918936e+23,3.15925800264561e+23,3.049834478812034e+23,2.94429107491645e+23,2.8427114816283712e+23,2.7448349247994933e+23,2.650504006166823e+23,2.5597348417837865e+23,2.472222361833824e+23,2.3878445396626835e+23,2.306382666671091e+23,2.2281148882103714e+23,2.1525369696395562e+23,2.0797671861805507e+23,2.0095623534110428e+23,1.9418465775711716e+23,1.876496215928157e+23,1.8134418513232118e+23,1.752841799428175e+23,1.6944114330237023e+23,1.637831275087203e+23,1.58345258511947e+23,1.5309119185559593e+23,1.4802944805821679e+23,1.4313679136711289e+23,1.384210080435658e+23,1.3386414892561405e+23,1.2947372196504146e+23,1.2523109881310681e+23,1.2113819977340241e+23,1.1719416261603782e+23,1.1337706887297946e+23,1.097019545651006e+23,1.0615139757886739e+23,1.0271743241740647e+23,9.940234616710083e+22,9.620188594331813e+22,9.31218290204757e+22,9.013115527716837e+22,8.725052415911761e+22,8.447093822529878e+22,8.178432113443724e+22,7.918412897046765e+22,7.66726355113824e+22,7.424282120648333e+22,7.189819694609959e+22,6.963420317663102e+22,6.7444851534405304e+22,6.532741801283517e+22,6.327900000372172e+22,6.129998888511177e+22,5.937944060095525e+22,5.752712057748604e+22,5.573457907585592e+22,5.400537657857191e+22,5.23359443888994e+22,5.0718828193604556e+22,4.915161350902427e+22,4.7640263254985325e+22,4.6174960703796526e+22,4.475641825260152e+22,4.33842347022858e+22,4.205805043423301e+22,4.077235934248088e+22,3.952976612130469e+22,3.83276940037284e+22,3.716138771282176e+22,3.603085696495412e+22,3.493735340436349e+22,3.387979947880902e+22,3.2856214495217643e+22,3.186527749490526e+22,3.090753651414214e+22,2.9977116696404625e+22,2.907779596370884e+22,2.8208055580101274e+22,2.736625736567173e+22,2.6547607715034933e+22,2.5755195934916762e+22,2.498885799049025e+22,2.424654639440183e+22,2.3526230383407374e+22,2.2828981257576716e+22,2.2156887295045128e+22,2.150299092938651e+22,2.0867624602689876e+22,2.0252325686557075e+22,1.965458368455515e+22,1.9076820613039726e+22,1.851816009644388e+22,1.7975461899740595e+22,1.744969693865888e+22,1.6940848202008834e+22,1.644650763162694e+22,1.59658553932397e+22,1.5501689699963557e+22,1.5051406500987421e+22,1.461488589313896e+22,1.4189951727025516e+22,1.377804247789695e+22,1.338005997482481e+22,1.2992609262294392e+22,1.2616038586507099e+22,1.2252467244020034e+22,1.1899106708109224e+22,1.1557245817102335e+22,1.1224824312376917e+22,1.0901575407875148e+22,1.0589773023702034e+22,1.02870547679867e+22,9.99336025210499e+21,9.70771460604291e+21,9.430967805232619e+21,9.162336404374996e+21,8.901226735082885e+21
